"id","code","other_code","short_name","long_name","specifications","type","status","expense_id","p_uom_id","uom_multiplier","average_cost","created_at","updated_at","deleted_at","is_inventory","is_cpi","purchase_category","i_uom_id","standard_vendor_id","is_active","last_purchase_cost","is_receivable","receiving_method","company_id","service"
2,"",,Test Short Name,Test Long Name,Test Specifications,Spare Parts,Active,1,2,12.00,12.0000,"2017-12-29 05:17:23","2018-10-01 00:41:36","2018-10-01 00:41:36",1,0,Standard,4,1,1,,1,MRN,1,FEMS
3,"1CVCP000001",,Adhesive,"Adhesive, Super Contact",,Consumables,Active,57,17,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,17,,1,,1,MRN,1,FEMS
4,"1CVCP000002",,Adhesive,"Adhesive, Epoxy Araldite",,Consumables,Active,57,19,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,19,,1,,1,MRN,1,FEMS
5,"1CVCP000003",,Adhesive,"Adhesive, Super Glue",,Consumables,Active,57,13,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,13,,1,,1,MRN,1,FEMS
6,"1CVCP000004",,Adhesive,"Adhesive, Wood (Puravac)",,Consumables,Active,57,17,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,17,,1,,1,MRN,1,FEMS
7,"1CVCP000005",,Adhesive,"Adhesive, Synthetic",,Consumables,Active,57,19,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,19,,1,,1,MRN,1,FEMS
8,"1CVCP000006",,Aluminium List,Aluminium List 20 feet,,Consumables,Active,57,12,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,12,,1,,1,MRN,1,FEMS
9,"1CVCP000007",,Window Blinds,"Window Blinds, 113L x 87H, Aluminium",,Consumables,Active,57,12,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,12,,1,,1,MRN,1,FEMS
10,"1CVCP000008",,Window Blinds,"Window Blinds, 24L x 32H, Aluminium",,Consumables,Active,57,12,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,12,,1,,1,MRN,1,FEMS
11,"1CVCP000009",,Aluminium Sheet,"Aluminium Sheet, 4ft x 8ft",,Consumables,Active,57,12,1.00,,"2017-12-29 05:34:40","2017-12-29 05:34:40",,1,0,Standard,12,,1,,1,MRN,1,FEMS
