"id","code","name","registration_number","incorporation_date","sap_code","is_bumi","type","category","is_gst","gst_number","gst_type","is_foreign","country_id","is_specialized","status","created_at","updated_at","deleted_at","origin_country_id","street","city","state_id","postcode","tel_no","fax_no","email","contact_person","designation","is_approved","scope_of_work","company_id","service","hp_no","is_precision","credit_limit","credit_terms","credit_updated_at","credit_review","credit_remarks"
1,VS900001,Super Save Sukma Sdn Bhd,V-09008,"2007-12-05","530102",0,Standard,,1,"000644009984",SR,0,1,0,Active,"2017-12-26 13:26:47","2018-02-19 22:29:11","2018-02-19 22:29:11",,,,,,"","",,,,0,,1,,,0,,,,,
2,V-99987,Gold Plywood Company,BD-98989,"2017-12-01","530109",1,Standard,,0,"","",1,1,0,Active,"2017-12-28 01:01:26","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,,1,,,0,,,,,
3,VRC-00001,PRASARANA SEMPURNA SDN BHD,,"2012-10-18","",0,Contractor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,CONSTRUCTION WORKS & SUPPLY (AGRICULTURE),1,FEMS,,0,,,,,
4,VRC-00002,HIGHWAY C.O.N. ENTERPRISE,,"2003-04-29","",0,Contractor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,"SUPPLY OF BUILDING MATERIALS, STATIONERY, TRANSPORTATION, CLEANING",1,FEMS,,0,,,,,
5,VRC-00003,KHAIRA FIRE ENGINEERING SDN BHD,,"2004-03-08",OMSB0190,0,Contractor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,SUPPLY FIRE EXTINGUISHERS & FIRE PREVENTION SYSTEM & MAINTENANCE,1,FEMS,,0,,,,,
6,VRC-00004,SARA KUASA SDN BHD,,"2014-07-11","",0,Standard Vendor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,"EVENT MANAGEMENT, UNIFORMS",1,GENERAL,,0,,,,,
7,VRC-00005,HHC LOGISTICS SDN BHD,,"2014-07-11","",0,Contractor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,TRANSPORTATION,1,GENERAL,,0,,,,,
8,VRC-00006,EEC ENGINEERING SDN BHD,,"2010-07-23",OMSB0621,0,Contractor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,TRADING IN ELECTRICAL PRODUCTS,1,FEMS,,0,,,,,
9,VRC-00007,SIPAGUH ENTERPRISE,,"1992-06-09",OMSB0644,0,Contractor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,BUILDING CONTRACTORAMBULANCE WORKSHOP,1,FEMS,,0,,,,,
10,VRC-00008,CREATIVE ENCOUNTER,,"2001-10-03",OMSB0075,0,Standard Vendor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,"INDUSTRIAL SUPPLY - MACHINE PARTS, SERVICING, WELDING ANG FABRICATING",1,GENERAL,,0,,,,,
11,VRC-00009,SYARIKAT HAJI RAMBLI,,"1988-09-01","",0,Contractor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,GENERAL CONTRACTOR GRASS CUTTING,1,FEMS,,0,,,,,
12,VRC-00010,ELITE MARKETING,,"2007-08-13",OMS05620,0,Standard Vendor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,TRADING AND SERVICE IN DIALYSIS EQUIPMENTS,1,BEMS,,0,,,,,
13,VRC-00011,N-BASE SARAWAK SDN BHD,,"1999-12-23",OMSB0565,0,Standard Vendor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,SECURITY SURVEILLANCE SYSTEMS,1,MIS,,0,,,,,
14,VRC-00012,PORTABLE ENGINEERING SDN BHD,,"2009-03-11",OMSB0552,0,Standard Vendor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,TRADING MEDICAL ACCESSORIES,1,BEMS,,0,,,,,
15,VRC-00013,HIN NGEP MOTOR,,"1999-06-19",OMSB0876,0,Contractor,"",0,,,0,,0,Active,"2018-01-04 13:04:50","2018-02-19 22:29:44","2018-02-19 22:29:44",,,,,,"","",,,,0,REPAIR MOTOR VEHICLES,1,FEMS,,0,,,,,
